                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0005,                  2.996,                 2.2165,                0.00092,                0.11668,                0.00904,                0.00677,                 2.0065,                 3.3073,                 2.2142,             0.00054854,             0.00054854,             0.00054854
                      2,                 1.5336,                 1.6946,                 1.7489,                0.64701,                0.61401,                0.64596,                0.32756,                 1.8087,                 1.8642,                 2.1095,              0.0010905,              0.0010905,              0.0010905
                      3,                 1.4602,                 1.4527,                 1.6571,                0.73333,                0.55615,                0.64723,                0.32523,                 1.7354,                 1.5781,                 1.9855,              0.0016188,              0.0016188,              0.0016188
                      4,                 1.4026,                 1.2891,                 1.6262,                0.71116,                0.63663,                0.65863,                0.35143,                 1.7526,                 1.4344,                 1.9831,              0.0016051,              0.0016051,              0.0016051
                      5,                  1.433,                 1.2552,                 1.6301,                0.74291,                0.67933,                0.74102,                0.39948,                 1.5874,                   1.21,                 1.8477,              0.0015845,              0.0015845,              0.0015845
                      6,                 1.3626,                 1.1242,                 1.5859,                0.74757,                0.62914,                 0.7207,                0.38346,                 1.6215,                  1.372,                 1.8943,              0.0015639,              0.0015639,              0.0015639
                      7,                 1.3583,                 1.0759,                 1.5509,                0.81527,                0.74167,                0.76891,                0.44418,                 1.4948,                 1.1136,                 1.7671,              0.0015432,              0.0015432,              0.0015432
                      8,                  1.299,                 1.0346,                 1.5263,                 0.8084,                0.69456,                0.78203,                0.44655,                 1.5211,                 1.0939,                 1.7805,              0.0015226,              0.0015226,              0.0015226
                      9,                 1.2792,                0.98609,                 1.5176,                0.77833,                0.77273,                0.79301,                0.45954,                 1.4961,                 1.0959,                 1.7691,               0.001502,               0.001502,               0.001502
                     10,                 1.2639,                0.94445,                 1.5138,                0.80195,                0.76974,                0.80343,                0.46069,                  1.516,                0.99819,                 1.7315,              0.0014813,              0.0014813,              0.0014813
                     11,                 1.2513,                 0.9364,                 1.5003,                0.77814,                0.76658,                0.78978,                 0.4555,                 1.5829,                 1.0716,                 1.8376,              0.0014607,              0.0014607,              0.0014607
                     12,                  1.234,                0.91772,                 1.4976,                0.73238,                0.78942,                0.78418,                0.48088,                 1.4237,                0.97628,                 1.6711,              0.0014401,              0.0014401,              0.0014401
                     13,                 1.2271,                0.90361,                 1.4729,                0.78496,                0.74423,                0.77238,                 0.4835,                 1.4187,                 1.0195,                 1.6997,              0.0014195,              0.0014195,              0.0014195
                     14,                 1.2181,                0.87524,                 1.4694,                0.80013,                0.80358,                 0.8368,                0.52354,                  1.373,                0.92188,                 1.6248,              0.0013988,              0.0013988,              0.0013988
                     15,                 1.1845,                0.82659,                 1.4394,                0.79868,                0.77943,                 0.8067,                0.52159,                 1.3967,                0.94643,                 1.6574,              0.0013782,              0.0013782,              0.0013782
                     16,                  1.172,                0.80957,                 1.4064,                0.85417,                 0.8127,                0.83519,                0.53125,                 1.3502,                0.88181,                  1.611,              0.0013576,              0.0013576,              0.0013576
                     17,                 1.1435,                 0.7871,                 1.4216,                0.77687,                0.80528,                0.81962,                0.51623,                 1.4159,                0.93102,                 1.6888,              0.0013369,              0.0013369,              0.0013369
                     18,                 1.1828,                0.81149,                 1.4349,                0.82394,                0.81346,                0.81531,                0.49038,                 1.4226,                0.87942,                 1.6597,              0.0013163,              0.0013163,              0.0013163
                     19,                 1.1609,                0.78882,                 1.4095,                 0.8281,                0.78912,                0.81914,                0.52562,                  1.422,                  0.887,                 1.6504,              0.0012957,              0.0012957,              0.0012957
                     20,                 1.1688,                0.80396,                 1.4332,                  0.837,                0.79309,                0.81487,                0.51382,                 1.3537,                0.84523,                  1.593,               0.001275,               0.001275,               0.001275
                     21,                 1.1438,                0.74575,                 1.4041,                0.80397,                0.82964,                0.84038,                0.52099,                 1.3761,                0.89993,                 1.6211,              0.0012544,              0.0012544,              0.0012544
                     22,                 1.1558,                0.75822,                 1.4233,                0.84328,                0.79678,                0.82704,                0.50642,                 1.3928,                0.88146,                 1.6104,              0.0012338,              0.0012338,              0.0012338
                     23,                 1.1376,                0.76525,                 1.4102,                0.83029,                0.80361,                0.84639,                0.53394,                 1.4203,                 0.8111,                  1.643,              0.0012132,              0.0012132,              0.0012132
                     24,                 1.1075,                0.72682,                  1.377,                0.84675,                0.78057,                 0.8187,                0.53288,                 1.3291,                 0.8648,                  1.552,              0.0011925,              0.0011925,              0.0011925
                     25,                 1.1113,                0.73413,                 1.3614,                0.84001,                0.81328,                0.85346,                0.55001,                 1.3449,                0.84556,                 1.5751,              0.0011719,              0.0011719,              0.0011719
